45300	48571	
61907	63852	
61980	63496	
20417	18159	
64987	66239	
47252	44337	
67669	68879	
51252	53573	
68105	68743	
38157	34879	
20312	20136	
54453	56736	
36083	37546	
30317	30310	
20315	17916	
4501	6108	
61628	59647	
31805	34057	
65117	64942	
69326	69350	
60546	61206	
9574	9057	
55398	52694	
65768	65317	
63833	64954	
27277	25525	
56469	55086	
37997	35567	
12702	9916	
27509	25245	
26969	29100	
61431	62814	
53310	54797	
14218	16475	
34797	38010	
64494	64571	
54273	51334	
13606	14556	
23594	22742	
5374	5218	
52989	50173	
41098	41289	
52872	54825	
9419	10007	
38350	36722	
43482	46480	
4253	5327	
9165	7010	
52649	51705	
44616	41449	
59639	57335	
61320	63694	
59011	61027	
33878	35945	
4926	6380	
58537	60207	
65759	67300	
30232	28940	
14387	13492	
1965	3080	
41943	42584	
22970	20983	
21584	18195	
32089	35615	
62857	61149	
63582	65653	
51909	48774	
42587	43996	
12878	13482	
47799	50478	
22472	21476	
38168	39400	
31136	33495	
68224	67362	
25870	28071	
60673	60168	
22771	24037	
32091	30340	
51476	52532	
47182	49533	
28843	28918	
61589	63759	
68183	69016	
4266	5763	
22695	24364	
9892	10417	
46822	44311	
44487	42633	
2954	3442	
53987	53923	
2286	1838	
42299	39332	
17871	17923	
46086	42977	
39247	38092	
67066	67138	
65148	66468	
33094	35408	
33384	34106	
48401	49036	
53040	50188	
56275	57052	
46503	44856	
51206	49108	
3168	2294	
15561	12912	
62209	60732	
56214	53739	
63408	64662	
48509	48277	
13593	10635	
25172	28612	
54623	55346	
46906	49159	
46932	49205	
53586	53241	
67983	67187	
51237	54394	
36843	40364	
29958	33580	
54348	54202	
1084	799	
8509	10390	
44471	46245	
3084	2753	
63355	64181	
63276	62068	
27862	29748	
48631	50858	
59557	57148	
41711	44711	
35811	33722	
31533	33595	
7107	8055	
31668	34085	
38881	42084	
25169	26628	
48281	49789	
68929	68056	
60114	62168	
68739	69570	
54438	53071	
64368	62656	
37891	39721	
54669	57592	
19850	21213	
8560	7979	
27541	30211	
67530	68344	
62593	61878	
54868	57490	
20575	18667	
58487	61095	
23087	20989	
37490	38831	
54097	55220	
67536	68776	
4553	5187	
