621	26	804	
18201	18120	16541	
54800	52317	52150	
60612	59448	59127	
9532	7459	11815	
54179	56335	53794	
61376	59167	62584	
50169	50476	52074	
21482	19943	24910	
37704	38337	36695	
15955	13106	14365	
15899	16276	17314	
25295	24288	24599	
57426	59170	58339	
8860	8644	10422	
36291	37088	36137	
47175	48680	46126	
29090	27241	29879	
67088	66473	67173	
59297	61726	57751	
17414	15767	17490	
49383	50322	47529	
67372	68534	67471	
15335	14797	15250	
2487	1263	1776	
6145	6524	4420	
67795	68545	68235	
36319	39033	39073	
995	1545	1514	
44664	43009	43004	
13862	13948	13303	
13388	13810	13745	
10350	9934	12032	
41125	41538	42583	
66117	65964	65445	
60471	59857	58896	
25531	28200	26986	
30754	33556	28273	
37961	39672	37065	
44919	46289	47251	
30292	28993	31331	
18667	15506	21297	
5600	6991	5539	
47720	50782	45417	
18958	18168	17182	
67973	68158	67750	
39739	37152	39239	
42157	40498	41412	
39622	41537	40626	
16902	17856	19089	
12676	12712	14000	
69499	69071	69167	
4041	4660	3811	
28277	30355	28539	
49525	50770	52454	
37312	34846	37295	
65256	65524	63962	
67881	66791	67986	
27528	29935	24260	
16953	18238	15433	
18389	20610	16391	
45021	45026	44547	
30743	29101	28718	
60	226	219	
68319	67553	68015	
62759	64544	63168	
32720	29246	33391	
9664	8680	7485	
48023	46026	47554	
13223	13805	12197	
12637	14442	15367	
12003	9980	14515	
23830	20746	21582	
34783	31745	37705	
18995	21860	20044	
18142	21362	20817	
12212	12194	14670	
32252	34297	33500	
47052	44425	47258	
8233	10428	7222	
112	-27	212	
63139	64562	61354	
64345	65576	62416	
29479	29893	31911	
28554	31999	31769	
48974	51483	48139	
29384	28846	27306	
36534	32922	33580	
27192	28793	23849	
21670	21666	18345	
29120	27080	26230	
62518	62497	64099	
14851	14057	12487	
39210	38026	36911	
62142	63338	64222	
7377	5338	8765	
50993	54131	49386	
10602	11663	10765	
5014	4936	4000	
40282	40382	37342	
3991	4369	3321	
412	-142	226	
50620	50719	50455	
6694	6639	6683	
18675	21049	15949	
1989	2322	1397	
11365	10177	12281	
16557	17073	16728	
53105	51599	53265	
40388	42755	36824	
42537	43533	45128	
736	741	1087	
61878	63696	63060	
42505	41648	42782	
23031	23961	22927	
53243	55690	55395	
31035	27655	33592	
68231	68030	67606	
30348	32720	26860	
54492	52925	55984	
56585	54505	57722	
32171	32082	34781	
44904	43159	43877	
24958	22413	26765	
35903	36316	38902	
9027	11065	11269	
2919	4394	2564	
48072	45537	49998	
11908	12653	10361	
43777	44335	45100	
49126	46428	50047	
534	917	197	
59129	61124	57212	
44398	41656	45323	
33719	30645	36686	
6522	6358	8069	
23071	21704	25962	
5618	6575	4605	
25248	22539	21758	
64051	63176	65528	
43904	40420	45195	
47170	48254	43943	
8240	8266	9471	
46535	45017	43284	
56236	55689	58479	
52603	50704	49685	
61565	59518	59974	
25593	24123	23955	
53876	54640	53052	
26975	28045	28266	
15645	18310	16141	
20291	16959	17608	
66437	67447	66215	
60189	62643	62545	
7117	7862	4949	
61243	60146	60404	
25925	26712	28925	
67601	66338	66820	
47873	46224	49398	
28483	31442	25066	
46910	48537	49419	
5532	5298	4951	
32066	32167	31325	
54307	56194	53666	
43033	39537	40132	
15018	13574	15820	
17643	20202	16637	
2762	1366	1431	
53246	51706	55753	
25722	26486	27490	
26793	27099	29716	
27920	25649	26040	
6876	4757	5649	
46604	46019	48459	
65023	65387	66202	
36357	35249	32756	
7771	7628	10101	
6249	4786	4169	
48197	49102	49702	
57442	56404	55632	
32228	29183	35260	
45844	45087	44147	
34546	32421	37015	
60087	58092	58742	
28524	29156	28363	
40689	37823	40104	
16163	14539	18718	
61481	60293	59708	
52347	51009	51617	
62595	63563	62867	
36801	35147	38321	
2798	1938	2291	
59911	58727	58347	
38264	34737	35550	
13013	11579	12161	
52945	54109	53384	
37203	34281	37353	
20784	21394	17909	
19371	19920	21604	
53962	56519	51448	
61099	61592	61127	
18965	17854	21214	
37590	36605	36704	
10623	11832	12427	
15326	16462	13573	
54019	55228	50903	
54850	57878	55539	
57312	56522	57906	
2721	1940	3263	
43903	45799	44791	
34439	31335	33444	
7134	7920	6803	
44066	47054	47090	
36004	33905	34615	
13137	12435	12448	
47849	44912	50671	
60317	60343	62328	
58126	60855	60454	
34151	30816	32181	
63174	61996	61431	
10553	12734	11108	
53034	54057	53933	
32877	30028	29235	
55219	53044	56906	
5867	4917	6989	
20818	21715	24122	
15484	14587	13320	
54774	56410	53285	
51349	52416	48694	
31586	32435	32477	
