240000	891912	892212	0.7880	0.8814	0.7880	
240000	551728	552736	0.6969	0.8214	0.6973	
240000	323968	326248	0.5744	0.7297	0.5762	
240000	243108	247380	0.5032	0.6695	0.5076	
240000	525208	532348	0.6864	0.8140	0.6893	
240000	185648	196688	0.4362	0.6074	0.4504	
240000	283408	299536	0.5415	0.7025	0.5552	
240000	423808	446368	0.6384	0.7793	0.6503	
240000	97768	128260	0.2895	0.4490	0.3483	
240000	116124	156204	0.3261	0.4918	0.3943	
240000	138016	189496	0.3651	0.5349	0.4412	
240000	163756	228604	0.4056	0.5771	0.4878	
240000	193656	273996	0.4466	0.6174	0.5331	
240000	228028	326140	0.4872	0.6552	0.5761	
