2	115	22	1001	1001	3831	3003
3	151	36	1311	1311	4753	4259
4	201	47	1590	1590	6740	5870
5	592	92	2524	2524	11148	10270
6	186	19	1322	1083	4705	3675
7	399	95	1966	1966	11563	11329
8	201	47	1590	1590	6740	5870
9	151	36	1311	1311	4753	4259
10	2605	487	3528	3528	37760	36766
11	1857	343	3455	3455	29749	28579
12	1527	221	3210	3210	22567	20202
13	1175	144	2332	2332	19130	17534
14	952	100	2600	2600	16410	14002
15	768	99	2471	1665	12697	10036
16	629	115	1885	1885	11832	9009
17	538	59	1822	1305	9965	6728
18	454	41	1690	1254	8612	6232
19	398	44	1594	1404	7272	4902
20	322	28	1285	895	6723	4103
21	244	24	1351	1001	5437	3662
22	2191	721	7512	7512	54726	54726
23	2278	580	7126	7126	52368	51352
24	1798	514	6224	6224	46358	45760
25	1915	523	6048	6048	42862	42029
26	1641	363	5699	5699	38651	38651
27	1623	370	5510	5510	36261	36261
28	1494	431	5035	5035	35115	35115
29	1384	350	4780	4780	34347	33875
30	1270	333	4643	4643	32566	31955
31	1100	250	4420	4420	28649	27942
32	993	292	4287	4287	27256	27114
33	1019	226	4141	4141	25802	24580
34	959	228	4010	4010	26206	24757
35	898	202	3875	3875	22968	21274
36	834	204	3684	3684	21641	20727
37	825	198	3527	3527	21806	21520
38	767	180	3441	3441	19839	19007
39	673	182	3165	3165	20215	19893
40	608	177	3026	3026	18256	17482
41	626	186	2923	2923	18138	16991
42	615	171	2727	2727	17157	15898
43	562	170	2588	2588	15780	15513
44	488	123	2370	2370	15897	15569
45	477	125	2125	2125	14008	13186
46	426	89	2093	2093	13678	13146
47	422	92	2077	2077	13398	12539
48	385	85	2025	2025	11704	11423
49	399	95	1966	1966	11563	11329
50	365	91	1868	1868	11111	10469
